S.No.,Question,Difficulty,Answers
1,What is 49 * 23?,Hard,1127
2,What is 50 * 96?,Hard,4800
3,What is 87 - 93?,Hard,-6
4,What is 88 + 89?,Medium,177
5,What is the square root of 18?,Easy,Not a perfect square
6,What is 96 * 42?,Medium,4032
7,What is 52 + 96?,Hard,148
8,What is 12 * 45?,Hard,540
9,What is 84 - 55?,Medium,29
10,What is 32 - 77?,Easy,-45
11,What is 52 - 12?,Medium,40
12,What is 57 + 6?,Easy,63
13,What is 95 + 98?,Hard,193
14,What is 86 - 21?,Easy,65
15,What is 23 * 45?,Easy,1035
16,What is the square root of 68?,Easy,Not a perfect square
17,What is 81 * 63?,Medium,5103
18,What is 73 + 73?,Medium,146
19,What is 6 * 49?,Medium,294
20,What is the square root of 7?,Easy,Not a perfect square
21,What is the square root of 39?,Hard,Not a perfect square
22,What is 67 + 29?,Easy,96
23,What is 84 squared?,Medium,7056
24,What is 95 + 44?,Medium,139
25,What is 30 squared?,Easy,900
26,What is 63 * 22?,Medium,1386
27,What is the square root of 74?,Medium,Not a perfect square
28,What is the square root of 70?,Easy,Not a perfect square
29,What is 94 + 25?,Medium,119
30,What is 51 * 13?,Hard,663
31,What is 66 squared?,Easy,4356
32,What is 25 * 33?,Medium,825
33,What is 34 + 20?,Medium,54
34,What is 86 - 93?,Hard,-7
35,What is 4 + 72?,Hard,76
36,What is 15 squared?,Hard,225
37,What is 19 - 51?,Medium,-32
38,What is 71 * 36?,Hard,2556
39,What is 84 squared?,Hard,7056
40,What is 77 - 5?,Easy,72
41,What is 18 - 7?,Medium,11
42,What is 76 - 66?,Easy,10
43,What is the square root of 95?,Easy,Not a perfect square
44,What is 84 - 81?,Easy,3
45,What is 41 - 6?,Hard,35
46,What is 68 - 42?,Medium,26
47,What is 21 squared?,Medium,441
48,What is 92 * 94?,Easy,8648
49,What is 4 + 13?,Hard,17
50,What is the square root of 64?,Easy,8
51,What is 33 + 35?,Medium,68
52,What is 23 + 67?,Easy,90
53,What is 99 squared?,Easy,9801
54,What is the square root of 75?,Medium,Not a perfect square
55,What is 67 squared?,Easy,4489
56,What is 60 * 89?,Hard,5340
57,What is 71 - 44?,Medium,27
58,What is 43 * 69?,Easy,2967
59,What is 70 + 78?,Easy,148
60,What is the square root of 90?,Easy,Not a perfect square
61,What is 1 - 96?,Hard,-95
62,What is the square root of 35?,Medium,Not a perfect square
63,What is 17 - 3?,Easy,14
64,What is 15 - 80?,Easy,-65
65,What is 66 - 67?,Hard,-1
66,What is the square root of 14?,Hard,Not a perfect square
67,What is 15 - 60?,Medium,-45
68,What is 13 + 93?,Medium,106
69,What is 64 + 99?,Easy,163
70,What is 91 squared?,Easy,8281
71,What is 30 - 10?,Medium,20
72,What is the square root of 79?,Easy,Not a perfect square
73,What is 81 squared?,Hard,6561
74,What is 28 * 93?,Hard,2604
75,What is 63 + 91?,Hard,154
76,What is the square root of 36?,Medium,6
77,What is 64 - 11?,Hard,53
78,What is 67 - 86?,Easy,-19
79,What is 9 + 35?,Hard,44
80,What is 78 - 73?,Easy,5
81,What is the square root of 75?,Hard,Not a perfect square
82,What is 98 + 89?,Easy,187
83,What is the square root of 59?,Hard,Not a perfect square
84,What is 38 + 54?,Easy,92
85,What is 68 squared?,Easy,4624
86,What is 74 * 39?,Easy,2886
87,What is the square root of 4?,Medium,2
88,What is the square root of 60?,Medium,Not a perfect square
89,What is 6 * 60?,Medium,360
90,What is 83 * 85?,Medium,7055
91,What is 17 * 81?,Easy,1377
92,What is 54 * 31?,Hard,1674
93,What is 79 * 4?,Hard,316
94,What is the square root of 63?,Hard,Not a perfect square
95,What is 79 - 33?,Hard,46
96,What is 31 - 86?,Hard,-55
97,What is 9 squared?,Medium,81
98,What is 65 + 40?,Hard,105
99,What is 66 squared?,Medium,4356
100,What is 24 + 40?,Hard,64
101,What is 7 + 95?,Hard,102
102,What is 57 + 1?,Hard,58
103,What is 66 + 58?,Easy,124
104,What is 2 * 86?,Medium,172
105,What is 91 - 87?,Hard,4
106,What is 12 * 72?,Medium,864
107,What is 16 - 89?,Medium,-73
108,What is the square root of 98?,Medium,Not a perfect square
109,What is the square root of 31?,Medium,Not a perfect square
110,What is 4 squared?,Hard,16
111,What is the square root of 2?,Easy,Not a perfect square
112,What is 79 + 21?,Easy,100
113,What is 85 squared?,Medium,7225
114,What is 9 - 37?,Hard,-28
115,What is 11 + 1?,Easy,12
116,What is 18 + 38?,Easy,56
117,What is 37 squared?,Medium,1369
118,What is 95 - 54?,Hard,41
119,What is 51 * 84?,Medium,4284
120,What is 22 + 85?,Medium,107
121,What is 80 * 1?,Medium,80
122,What is 52 * 25?,Easy,1300
123,What is the square root of 46?,Hard,Not a perfect square
124,What is 30 * 7?,Easy,210
125,What is 70 + 54?,Easy,124
126,What is 67 * 32?,Easy,2144
127,What is 90 + 69?,Easy,159
128,What is 66 * 73?,Medium,4818
129,What is 41 * 7?,Hard,287
130,What is 98 squared?,Medium,9604
131,What is 31 squared?,Hard,961
132,What is 89 squared?,Hard,7921
133,What is 43 - 11?,Hard,32
134,What is 66 * 14?,Medium,924
135,What is the square root of 46?,Easy,Not a perfect square
136,What is 82 + 66?,Easy,148
137,What is 31 * 43?,Easy,1333
138,What is 61 * 7?,Medium,427
139,What is 77 - 15?,Easy,62
140,What is 30 squared?,Easy,900
141,What is 61 + 98?,Hard,159
142,What is the square root of 42?,Medium,Not a perfect square
143,What is 28 - 88?,Medium,-60
144,What is 53 squared?,Easy,2809
145,What is 45 - 29?,Hard,16
146,What is 21 squared?,Hard,441
147,What is 92 + 56?,Easy,148
148,What is 47 - 23?,Medium,24
149,What is 33 + 14?,Easy,47
150,What is 46 + 13?,Hard,59
151,What is 78 * 82?,Easy,6396
152,What is the square root of 93?,Easy,Not a perfect square
153,What is 100 - 57?,Medium,43
154,What is the square root of 40?,Medium,Not a perfect square
155,What is the square root of 65?,Medium,Not a perfect square
156,What is 30 squared?,Medium,900
157,What is 44 * 92?,Easy,4048
158,What is 69 * 7?,Medium,483
